,wrapperType,artistId,collectionId,artistName,collectionName,collectionCensoredName,artistViewUrl,collectionViewUrl,artworkUrl60,artworkUrl100,collectionPrice,collectionExplicitness,trackCount,country,currency,releaseDate,primaryGenreName,previewUrl,description,copyright,kind,trackId,trackName,trackCensoredName,trackViewUrl,artworkUrl30,trackPrice,trackExplicitness,discCount,discNumber,trackNumber,trackTimeMillis,isStreamable,contentAdvisoryRating,collectionArtistName,collectionArtistId,trackRentalPrice,collectionHdPrice,trackHdPrice,trackHdRentalPrice,shortDescription,longDescription
0,audiobook,160778930.0,1439484338.0,Bob Spitz,The Beatles (Abridged),The Beatles (Abridged),https://books.apple.com/us/author/bob-spitz/id160778930?uo=4,https://books.apple.com/us/audiobook/the-beatles-abridged/id1439484338?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/69/b8/65/69b86591-ce4b-9bd0-ab71-3808d0ea06dc/9780743552455.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/69/b8/65/69b86591-ce4b-9bd0-ab71-3808d0ea06dc/9780743552455.jpg/100x100bb.jpg,16.99,notExplicit,1.0,USA,USD,2005-11-01T08:00:00Z,Biographies & Memoirs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/8a/3b/60/8a3b60b6-8b98-ec66-4193-2410ade915b6/mzaf_3719604921631393408.std.aac.p.m4a,"<b>2007 Audie Award Winner for Non-Fiction, Abridged</b><br /><br />Even before the Beatles hit the big time, a myth was created. This version of the Beatles legend smoothed the rough edges and filled in the fault lines, and for more than forty years this manicured version of the Beatles story has sustained as truth -- until now.<br /> The product of almost a decade of research, hundreds of unprecedented interviews, and the discovery of scores of never-before-revealed documents, Bob Spitz's <i>The Beatles</i> is the biography fans have been waiting for.<br /> Never before has a biography of musicians been so immersive and textured. We are there in the McCartney living room when Paul and John learn to write songs together; backstage the night Ringo takes over on drums; in seedy German strip clubs where George lies about his age so the band can perform; and at the <i>Ed Sullivan Show</i> as America discovers the joy and the madness. From Shea to San Francisco, through the London night, on to India, through marmalade skies, across the universe-all the way to a rooftop concert and one last moment of laughter and music.<br /> It is all here, the highs and the lows, the love and the rivalry, the drugs, the tears, the thrill, the magic never again to be repeated. Bob Spitz's masterpiece is, at long last, the biography the Beatles deserve.",,,,,,,,,,,,,,,,,,,,,,,
1,audiobook,2037074.0,1420827098.0,Hunter Davies,The Beatles,The Beatles,https://books.apple.com/us/author/hunter-davies/id2037074?uo=4,https://books.apple.com/us/audiobook/the-beatles/id1420827098?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music114/v4/28/df/d3/28dfd325-1c47-9cbc-84a5-7793ecdc5b04/9781483069364_cover.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music114/v4/28/df/d3/28dfd325-1c47-9cbc-84a5-7793ecdc5b04/9781483069364_cover.jpg/100x100bb.jpg,22.99,notExplicit,1.0,USA,USD,2010-03-18T07:00:00Z,Biographies & Memoirs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/8b/68/95/8b689586-b40d-6086-d80a-d08b2a9c4061/mzaf_17544905035827147247.std.aac.p.m4a,"This worldwide bestseller is the biography that defined a band—and an era.<br /><br />As the friend and only authorized biographer of the most famous musical group in history, Davies had full access to the Beatles—including their family, friends, and colleauges—as well as their help and encouragement in writing this biography. He spent eighteen months with them when they were at the peak of their musical genius and the pinnacle of their popularity, making a mark on history and popular culture that would never fade. Davies stayed on with the Beatles through their breakup and remained friends with the individual members afterwards, enabling him to write the continuing story of their solo careers.<br /><br />First published in 1968, this newly revised edition has added information, including a new introduction and a newly discovered song lyric by George Harrison.",© 2010 Blackstone Audio,,,,,,,,,,,,,,,,,,,,,,
2,audiobook,310801194.0,1454533897.0,Paul Charles,The Beatles: The Pocket Essential Guide,The Beatles: The Pocket Essential Guide,https://books.apple.com/us/author/paul-charles/id310801194?uo=4,https://books.apple.com/us/audiobook/the-beatles-the-pocket-essential-guide/id1454533897?uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music114/v4/6a/9b/28/6a9b2839-c8fe-55a6-0169-46d9bdc54b88/9781848391994_cover.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music114/v4/6a/9b/28/6a9b2839-c8fe-55a6-0169-46d9bdc54b88/9781848391994_cover.jpg/100x100bb.jpg,6.99,notExplicit,1.0,USA,USD,2016-03-15T07:00:00Z,Nonfiction,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/46/74/22/4674220b-ec41-c058-2c87-4bd1d7f31eab/mzaf_6782547560392152472.std.aac.p.m4a,"The most successful entity in the history of the entertainment business, and still as popular as ever forty years on, The Beatles' story is a classic rags to riches tale. Here, every official Beatles single and album is discussed, along with a detailed discussion of how the four working-class Liverpool lads met and, using the songs and records as signposts, a journey through their colourful, historic and celebrated career.",© 2016 Summersdale Publishing,,,,,,,,,,,,,,,,,,,,,,
3,audiobook,265867174.0,266241608.0,Larry Kane,Ticket to Ride: Inside the Beatles' 1964 and 1965 Tours that Changed the World (Unabridged),Ticket to Ride: Inside the Beatles' 1964 and 1965 Tours that Changed the World (Unabridged),https://books.apple.com/us/author/larry-kane/id265867174?uo=4,https://books.apple.com/us/audiobook/ticket-to-ride-inside-the-beatles-1964-and-1965/id266241608?uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music/a0/27/0e/mzi.mpfyimyn.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music/a0/27/0e/mzi.mpfyimyn.jpg/100x100bb.jpg,5.99,notExplicit,1.0,USA,USD,2007-09-27T07:00:00Z,Biographies & Memoirs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/07/7b/db/077bdb47-1306-fc1e-55bc-cb80b2f815a3/mzaf_6870191578483056977.std.aac.p.m4a,<i>Ticket to Ride</i> recounts broadcast journalist Larry Kane's travels with the Beatles during their first North American tour. The book provides an intimate look at the Fab Four and contains original interview recordings with the band conducted during the tour.,© 2007 DLO Records,,,,,,,,,,,,,,,,,,,,,,
4,audiobook,2065398.0,1469497435.0,Geoffrey Giuliano,The Beatles: Inside Interviews: The Lost Press Conference Collection,The Beatles: Inside Interviews: The Lost Press Conference Collection,https://books.apple.com/us/author/geoffrey-giuliano/id2065398?uo=4,https://books.apple.com/us/audiobook/the-beatles-inside-interviews-the-lost-press/id1469497435?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/6b/be/38/6bbe3846-eba1-58b0-4b2e-c88f389c05c4/9781982757373_cover.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/6b/be/38/6bbe3846-eba1-58b0-4b2e-c88f389c05c4/9781982757373_cover.jpg/100x100bb.jpg,7.99,notExplicit,1.0,USA,USD,2019-06-12T07:00:00Z,Biographies & Memoirs,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/43/dc/b2/43dcb296-c422-d02e-7df2-7cdddbf8dc8c/mzaf_18213831433933188914.std.aac.p.m4a,"Here is the Beatles' incredible story in their own words! Once again, internationally acclaimed, best-selling biographer and actor Geoffrey Giuliano tears back the decades-old veil of myth and unquestioning hero worship surrounding the Beatles’ turbulent lives and presents the frank, often heart-wrenching tale of four talented, driven young men from suburban Liverpool thrust upon the world stage and into the stratosphere of untouchable, eternal superstardom. <br /><br />Utilizing a wealth of rare press conferences and never-before-heard conversations, here is the last word on the Beatles' astounding life and times. The Fab Four speak out exclusively on their groundbreaking music, art, incredible success, the often oppressive constraints of global Beatlemania, and the life-changing effect it had on their amazing, yet turbulent lives. <br /><br />Here is the perfect collection celebrating the Beatles for every dedicated fan, music historian, the media, as well as all school, library, institutional, and university collections. An ultra-rare, exciting, once-in-a-lifetime audio experience for every generation!  <br /><br />The interviews are from 1962 to 1970.  <br /><br />Additional narration by Josephine Rigonan Puno Noble <br /><br />Bobby Parrs, associate producer  <br /><br />Geoffrey Giuliano is the author of 32 internationally best-selling biographies on the Beatles and other iconic rock groups of the 1960s. He is also a screenwriter, the voice on more than 500 popular audiobooks, as well as a compelling character actor in more than 25 classic films.   <br /><br />Series producer Avalon Giuliano based in New York. Produced by Alex Franchi in Milan. Edited and mixed by Macc Kay in Bangkok. ICON intern Eden Garret Giuliano. Music by AudioNautix.",© 2019 Author's Republic,,,,,,,,,,,,,,,,,,,,,,
5,track,5621730.0,1025317255.0,Devendra Banhart,Cripple Crow,Cripple Crow,https://music.apple.com/us/artist/devendra-banhart/5621730?uo=4,https://music.apple.com/us/album/the-beatles/1025317255?i=1025317599&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/c1/e6/3b/c1e63b0b-2fe6-4279-39d0-e43204cf5594/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/c1/e6/3b/c1e63b0b-2fe6-4279-39d0-e43204cf5594/source/100x100bb.jpg,9.99,notExplicit,22.0,USA,USD,2005-09-13T12:00:00Z,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/44/c1/98/44c198a8-2a9c-dea6-d575-36141138edd6/mzaf_1061800412585949492.plus.aac.p.m4a,,,song,1025317599.0,The Beatles,The Beatles,https://music.apple.com/us/album/the-beatles/1025317255?i=1025317599&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/c1/e6/3b/c1e63b0b-2fe6-4279-39d0-e43204cf5594/source/30x30bb.jpg,1.29,notExplicit,1.0,1.0,10.0,104413.0,True,,,,,,,,,
6,track,829356035.0,1440844129.0,Rae Sremmurd,SremmLife 2 (Deluxe),SremmLife 2 (Deluxe),https://music.apple.com/us/artist/rae-sremmurd/829356035?uo=4,https://music.apple.com/us/album/black-beatles-feat-gucci-mane/1440844129?i=1440844145&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/7f/cf/ce/7fcfce2c-384c-2a35-efb1-e457b3b7142a/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/7f/cf/ce/7fcfce2c-384c-2a35-efb1-e457b3b7142a/source/100x100bb.jpg,10.99,explicit,14.0,USA,USD,2016-08-12T12:00:00Z,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b2/36/e4/b236e45a-8050-0414-72ff-d477e22bb58b/mzaf_789672139731068638.plus.aac.p.m4a,,,song,1440844145.0,Black Beatles (feat. Gucci Mane),Black Beatles (feat. Gucci Mane),https://music.apple.com/us/album/black-beatles-feat-gucci-mane/1440844129?i=1440844145&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/7f/cf/ce/7fcfce2c-384c-2a35-efb1-e457b3b7142a/source/30x30bb.jpg,1.29,explicit,1.0,1.0,5.0,291891.0,True,Explicit,,,,,,,,
7,track,157458.0,282495289.0,Daniel Johnston,Yip! Jump Music,Yip! Jump Music,https://music.apple.com/us/artist/daniel-johnston/157458?uo=4,https://music.apple.com/us/album/the-beatles/282495289?i=282495296&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music/v4/9c/34/4e/9c344edb-beb8-e480-62cf-ae9b6d59f363/source/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music/v4/9c/34/4e/9c344edb-beb8-e480-62cf-ae9b6d59f363/source/100x100bb.jpg,9.99,notExplicit,20.0,USA,USD,1983-05-01T12:00:00Z,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e6/81/31/e68131e4-2889-d027-d1e2-6755e56fd434/mzaf_13627254640725098082.plus.aac.p.m4a,,,song,282495296.0,The Beatles,The Beatles,https://music.apple.com/us/album/the-beatles/282495289?i=282495296&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music/v4/9c/34/4e/9c344edb-beb8-e480-62cf-ae9b6d59f363/source/30x30bb.jpg,0.99,notExplicit,1.0,1.0,2.0,145453.0,True,,,,,,,,,
8,track,136975.0,1441133100.0,The Beatles,The Beatles 1967-1970 (The Blue Album),The Beatles 1967-1970 (The Blue Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/hey-jude/1441133100?i=1441133277&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/100x100bb.jpg,19.99,notExplicit,14.0,USA,USD,1968-08-26T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a4/33/20/a433208b-4e66-598a-55db-2ab05a4a5c77/mzaf_8650423337535233229.plus.aac.p.m4a,,,song,1441133277.0,Hey Jude,Hey Jude,https://music.apple.com/us/album/hey-jude/1441133100?i=1441133277&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/30x30bb.jpg,1.29,notExplicit,2.0,1.0,13.0,431333.0,True,,,,,,,,,
9,track,136975.0,1441133180.0,The Beatles,The Beatles (The White Album),The Beatles (The White Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/blackbird/1441133180?i=1441133834&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/16/fe/6a/16fe6a77-f15a-a4e3-1f92-cda58964c7d5/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/16/fe/6a/16fe6a77-f15a-a4e3-1f92-cda58964c7d5/source/100x100bb.jpg,19.99,notExplicit,17.0,USA,USD,1968-11-22T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/10/e8/96/10e89630-4b7b-77d4-af63-829d597340ba/mzaf_842543440499453757.plus.aac.p.m4a,,,song,1441133834.0,Blackbird,Blackbird,https://music.apple.com/us/album/blackbird/1441133180?i=1441133834&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/16/fe/6a/16fe6a77-f15a-a4e3-1f92-cda58964c7d5/source/30x30bb.jpg,1.29,notExplicit,3.0,1.0,11.0,138387.0,True,,,,,,,,,
